State,Total,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,> 85,Median
South Carolina,4896146,5.9,6.3,6.2,6.7,7.1,6.7,6.2,6.0,6.3,6.4,6.9,6.8,6.4,5.9,4.1,2.7,1.8,1.7,39.0
South Dakota,858469,6.9,7.0,6.5,7.0,6.9,6.5,6.6,6.0,5.5,5.5,6.7,7.0,6.2,4.9,3.6,2.6,2.2,2.4,36.9
Tennessee,6600299,6.0,6.3,6.4,6.5,6.9,6.7,6.5,6.2,6.5,6.6,7.0,7.0,6.0,5.4,3.8,2.6,1.8,1.7,38.7
Texas,27469114,7.2,7.5,7.3,7.2,7.3,7.3,7.2,6.8,6.7,6.3,6.4,5.9,5.2,4.1,2.9,2.0,1.4,1.3,34.4
Utah,2995919,8.3,8.7,8.6,7.9,8.4,7.2,7.5,7.4,6.1,5.2,5.1,4.8,4.6,3.5,2.5,1.8,1.3,1.1,30.6
Vermont,626042,4.8,5.1,5.5,7.1,7.4,5.5,5.8,5.9,5.3,6.7,7.8,7.9,7.7,6.3,4.0,2.7,2.2,2.3,43.1
Virginia,8382993,6.1,6.3,6.2,6.6,7.1,7.1,6.9,6.7,6.4,6.7,7.2,6.7,5.9,5.0,3.5,2.4,1.7,1.7,37.8
Washington,7170351,6.2,6.4,6.1,6.3,6.8,7.4,7.3,6.6,6.3,6.4,6.8,6.8,6.1,5.2,3.6,2.3,1.6,1.8,37.5
West Virginia,1844128,5.5,5.6,5.8,6.2,6.3,6.1,5.8,6.1,6.4,6.4,7.0,7.2,7.4,6.4,4.3,3.1,2.2,2.2,42.2
Wisconsin,5771337,5.8,6.3,6.3,6.6,7.0,6.1,6.4,6.0,6.1,6.5,7.4,7.4,6.4,5.2,3.5,2.7,1.9,2.2,39.4
Wyoming,586107,6.5,6.7,6.9,6.8,6.7,7.0,7.1,6.7,5.6,5.4,6.5,7.4,6.5,4.9,3.5,2.3,1.7,1.7,36.5
