State,Total,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,> 85,Median
Alabama,4858979,5.9,6.5,6.3,6.8,6.8,6.5,6.3,6.3,6.3,6.3,7.0,6.9,6.3,5.4,3.9,2.8,1.9,1.7,38.7
Alaska,738432,7.4,7.1,6.6,6.8,8.5,8.5,7.6,6.6,5.8,5.9,6.7,6.9,6.0,4.0,2.5,1.3,1.0,0.8,33.3
Arizona,6828065,6.3,6.7,6.7,6.8,7.0,6.8,6.6,6.3,6.1,6.0,6.3,6.1,5.8,5.3,4.2,3.0,1.9,1.9,37.4
Arkansas,2978204,6.3,6.7,6.7,6.8,6.7,6.6,6.3,6.2,6.1,6.1,6.8,6.7,5.9,5.3,4.1,2.7,2.0,2.0,37.9
California,39144818,6.4,6.5,6.4,6.7,7.4,7.7,7.2,6.7,6.6,6.6,6.8,6.3,5.5,4.5,3.1,2.2,1.6,1.8,36.2
Colorado,5456574,6.1,6.6,6.5,6.4,7.0,7.7,7.5,7.0,6.5,6.4,6.7,6.5,6.1,4.8,3.2,2.1,1.5,1.5,36.4
Connecticut,3590886,5.2,5.8,6.3,7.0,6.9,6.1,6.2,5.8,6.2,7.2,7.8,7.5,6.4,5.0,3.8,2.6,1.9,2.5,40.6
Delaware,945934,5.9,5.6,6.5,6.4,6.7,6.9,6.3,6.2,5.5,6.5,7.2,7.0,6.5,5.9,4.3,2.9,1.9,2.1,39.7
District of Columbia,672228,6.4,4.8,3.9,5.7,8.7,11.6,11.1,7.9,6.4,5.8,5.7,5.6,4.8,3.7,2.8,1.8,1.3,1.7,33.8
Florida,20271272,5.4,5.6,5.7,6.0,6.3,6.6,6.2,6.0,6.1,6.4,7.1,6.7,6.4,6.0,4.8,3.5,2.5,2.6,41.8
Georgia,10214860,6.4,7.0,6.9,7.1,7.1,6.9,6.7,6.8,6.8,6.8,6.9,6.3,5.5,4.6,3.3,2.1,1.4,1.3,36.4
Hawaii,1431603,6.4,6.0,6.0,5.4,7.3,7.9,7.2,6.2,6.2,6.0,6.2,6.8,5.8,5.6,3.8,2.5,1.9,2.8,37.7
Idaho,1654930,6.8,7.5,7.5,7.1,6.7,6.5,6.6,6.5,5.9,5.8,6.2,6.2,6.0,5.1,3.7,2.6,1.7,1.6,35.8
Illinois,12859995,6.1,6.4,6.6,6.7,7.0,6.9,6.9,6.6,6.4,6.6,7.0,6.8,6.0,4.7,3.4,2.4,1.8,1.9,37.7
Indiana,6619680,6.3,6.5,6.9,7.0,7.3,6.4,6.3,6.3,6.2,6.3,6.9,6.8,6.1,4.8,3.6,2.6,1.7,1.9,37.5
Iowa,3123899,6.2,6.6,6.5,7.1,7.1,6.1,6.4,6.0,5.8,6.0,6.8,6.7,6.5,4.9,3.7,2.8,2.1,2.5,38.1
Kansas,2911641,6.8,6.9,7.0,7.2,7.4,6.5,6.7,6.1,5.8,5.8,6.6,6.7,5.9,4.7,3.4,2.5,2.0,2.1,36.2
Kentucky,4425092,6.2,6.3,6.4,6.7,6.8,6.5,6.2,6.3,6.5,6.4,7.2,7.0,6.3,5.3,3.8,2.6,1.8,1.7,38.8
Louisiana,4670724,6.5,7.0,6.4,6.7,7.1,7.2,7.1,6.4,5.9,6.0,6.7,6.7,6.1,4.9,3.4,2.4,1.8,1.6,36.4
Maine,1329328,4.8,5.2,5.6,6.1,5.9,5.7,5.7,5.3,6.2,6.8,7.9,8.3,7.5,6.5,4.5,3.2,2.2,2.4,44.6
Maryland,6006401,6.1,6.3,6.2,6.5,6.7,7.0,6.8,6.5,6.3,6.9,7.6,7.0,6.0,4.9,3.4,2.4,1.7,1.8,38.3
Massachusetts,6794422,5.4,5.5,5.8,6.7,7.3,7.1,6.7,6.1,6.2,6.9,7.5,7.0,6.3,5.0,3.7,2.4,2.0,2.3,39.4
Michigan,9922576,5.8,6.0,6.4,6.8,7.2,6.3,6.0,5.8,6.0,6.6,7.3,7.4,6.6,5.4,3.7,2.7,1.9,2.1,39.7
Minnesota,5489594,6.4,6.5,6.6,6.5,6.6,6.6,7.0,6.3,6.0,6.4,7.2,7.1,6.2,4.8,3.4,2.5,1.9,2.1,37.9
Mississippi,2992333,6.3,7.2,6.7,7.4,7.2,6.4,6.1,6.4,6.5,6.0,6.6,6.8,5.8,5.0,3.7,2.6,1.7,1.6,37.0
Missouri,6083672,6.2,6.5,6.3,6.7,7.0,6.6,6.5,6.2,5.9,6.2,7.1,7.0,6.3,5.1,3.8,2.7,2.0,2.0,38.4
Montana,1032949,5.8,6.3,6.1,6.5,6.9,6.1,6.4,6.1,5.4,5.7,6.8,7.2,7.4,6.0,4.2,2.9,2.2,2.0,39.9
Nebraska,1896190,6.9,7.0,6.9,6.9,7.3,6.3,7.0,6.5,5.7,5.7,6.5,6.7,5.9,4.6,3.5,2.5,1.9,2.3,36.1
Nevada,2890845,6.1,6.6,6.6,6.1,6.5,7.3,7.0,6.7,6.7,6.8,6.8,6.3,6.0,5.3,3.9,2.6,1.6,1.3,37.8
New Hampshire,1330608,4.8,5.2,6.0,6.9,6.7,5.9,5.8,5.4,6.3,7.2,8.3,8.3,6.9,5.7,4.0,2.8,1.8,2.1,42.8
New Jersey,8958013,5.9,6.1,6.3,6.4,6.4,6.4,6.5,6.4,6.6,7.2,7.6,7.2,5.9,4.9,3.5,2.4,1.9,2.2,39.6
New Mexico,2085109,6.4,6.8,6.7,6.8,7.2,6.6,6.5,6.0,5.8,5.7,6.7,6.8,6.2,5.4,4.0,2.7,1.9,1.9,37.4
New York,19795791,6.0,5.7,5.9,6.3,7.1,7.5,7.0,6.4,6.3,6.8,7.2,6.8,6.0,4.9,3.5,2.6,1.8,2.2,38.3
North Carolina,10042802,6.0,6.4,6.5,6.8,7.0,6.6,6.3,6.3,6.7,6.7,6.9,6.7,6.0,5.3,3.7,2.6,1.8,1.7,38.4
North Dakota,756928,6.9,6.6,5.7,6.6,9.2,7.9,7.2,5.9,5.6,5.2,6.5,6.6,6.0,4.2,3.2,2.2,2.0,2.5,34.9
Ohio,11613423,5.9,6.2,6.5,6.7,6.7,6.6,6.2,6.0,6.1,6.4,7.1,7.2,6.5,5.4,3.6,2.7,2.0,2.2,39.3
Oklahoma,3911338,6.7,6.9,6.9,6.9,7.2,6.9,6.9,6.1,6.2,5.8,6.5,6.5,5.9,4.9,3.6,2.7,1.8,1.7,36.3
Oregon,4028977,5.7,6.1,5.9,6.2,6.6,6.8,6.9,7.1,6.0,6.3,6.5,6.6,7.0,5.9,3.9,2.7,1.8,2.0,39.1
Pennsylvania,12802503,5.6,5.9,5.8,6.6,6.6,6.7,6.2,5.8,5.9,6.6,7.3,7.4,6.6,5.4,3.9,2.9,2.2,2.5,40.7
Rhode Island,1056298,5.1,5.8,5.5,7.0,7.5,7.1,6.4,5.9,5.8,6.7,7.4,7.5,6.1,5.2,3.8,2.5,2.0,2.6,39.7
