State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Alabama,4833722,3330478,1284102,22459,58624,1521,54784,81754,0.6890090079652905,0.2656549135428144,0.004646316027276703,0.012128128179485704,0.00031466435181832966,0.011333709303100178,0.01691326063021415
Alaska,735132,487762,25077,105310,41775,8794,9508,56906,0.6635026090552445,0.03411224106691043,0.14325318446211022,0.05682652911313887,0.011962477487036341,0.012933731629149596,0.07740922718641007
Arizona,6626624,5233466,277973,288294,191718,12609,410756,211808,0.7897635357008335,0.04194790590200983,0.04350541090002994,0.028931474005466435,0.0019027788508899856,0.06198571097439662,0.031963183666373705
Arkansas,2959373,2305726,463928,17704,39210,628,66953,65224,0.7791265244360883,0.15676563920803493,0.005982348287965052,0.013249428172792007,0.0002122071127904458,0.022624049080666748,0.022039803701662482
California,38332521,23741019,2269021,278377,5210236,142782,4961376,1729710,0.6193440551431512,0.0591931065530493,0.00726216259034985,0.13592208036617262,0.003724826760024471,0.12942994278930936,0.04512382579794321
Colorado,5268367,4415852,209555,43613,150852,8315,251148,189032,0.8381823058264544,0.039776082417948486,0.00827827674116097,0.028633540525935267,0.0015782879210958537,0.047670938641897954,0.03588056792550709
Connecticut,3596080,2778681,370998,8018,147570,545,185341,104927,0.7726972147449445,0.10316733776779159,0.0022296500634023716,0.0410363506929768,0.00015155391426219662,0.05153973215278859,0.02917816066383395
Delaware,925749,637606,200249,3955,33639,841,23029,26430,0.6887460856020369,0.21631025256305975,0.004272216335097311,0.0363370632860527,0.0009084535873114635,0.02487607332009,0.02854985530635194
District of Columbia,646449,264080,315504,1272,22963,104,21681,20845,0.40850863718560937,0.488057062506091,0.0019676726238264737,0.03552175036236424,0.00016087889377197582,0.033538608614136614,0.032245389814200345
Florida,19552860,14897782,3141552,50379,509588,8241,486005,459313,0.7619234219444112,0.16066969231099695,0.002576554018184552,0.026062069692106424,0.0004214728689306833,0.02485595457646605,0.02349083458890413
Georgia,9992167,6035159,3095976,21692,355900,3639,268958,210843,0.6039890045872932,0.3098402979053493,0.0021709004663352806,0.03561789950067888,0.00036418526631910777,0.026916883995233468,0.021100828278790777
Hawaii,1404054,358977,30306,2272,531218,137256,14008,330017,0.2556717904012239,0.021584639907012124,0.0016181713808728153,0.378345847097049,0.09775692387899611,0.009976824253198239,0.23504580308164785
Idaho,1612136,1475631,9097,19800,24845,1818,42199,38746,0.915326622567823,0.005642824178605279,0.012281842226710402,0.015411230814273733,0.0011276964226343187,0.026175831319442032,0.024033952470511172
Illinois,12882135,9362416,1833560,25575,635385,3660,732177,289362,0.7267751812878843,0.14233354952420543,0.00198530755965529,0.04932295772401081,0.0002841143956339535,0.05683661908526809,0.022462270423342093
Indiana,6570902,5529595,603521,14146,116856,2703,161230,142851,0.8415275406633671,0.0918475119549797,0.002152824680690718,0.017783859811027466,0.0004113590493359968,0.024536966157766467,0.021739937682832586
Iowa,3090416,2823908,102430,7630,63431,1640,38541,52836,0.9137630662020906,0.033144405154516415,0.0024689232776428805,0.020525068469746468,0.0005306728932286138,0.012471136571904884,0.017096727430870148
Kansas,2893957,2476030,168246,24238,73219,1416,55240,95568,0.8555863131345767,0.0581370075643833,0.008375383601069401,0.025300652359381982,0.0004892954525585557,0.01908805141195947,0.033023296476070656
Kentucky,4395295,3854574,350164,7434,53187,2130,40077,87729,0.8769773132406358,0.07966791762555187,0.0016913540501832074,0.01210089425169414,0.00048460911042376,0.009118159304438041,0.019959752417073255
Louisiana,4625470,2907296,1492915,27412,74227,673,45026,77921,0.6285406672186826,0.32275963307512534,0.005926316677007958,0.016047450313157366,0.00014549872769686108,0.00973436212968628,0.016846071858643553
Maine,1328302,1260470,13617,8242,14059,269,3811,27834,0.9489332998068211,0.010251433785389166,0.0062049142438993544,0.01058418943884749,0.00020251418728572268,0.0028690764600218925,0.020954572077735333
Maryland,5928814,3416335,1754964,17230,354430,3053,213342,169460,0.5762257004520634,0.29600591281831407,0.0029061461533453404,0.05978092751771265,0.0005149427861963624,0.03598392528421367,0.02858244498815446
Massachusetts,6692824,5330381,474427,13958,388317,1557,285569,198615,0.7964322683518945,0.07088592199645471,0.0020855172644611603,0.0580199031081648,0.00023263722458561587,0.042667938078156546,0.029675813976282658
Michigan,9895622,7829056,1378237,53720,266406,2267,100087,265849,0.7911636075023885,0.13927745016937793,0.00542866330181165,0.026921602300492075,0.00022909120821308656,0.010114270735078604,0.026865314782638223
Minnesota,5420380,4596087,294527,59184,234013,1753,88055,146761,0.8479270826030647,0.054336965305015514,0.01091879167143263,0.04317280338278866,0.0003234090598814105,0.016245171002771022,0.02707577697504603
Mississippi,2991207,1764640,1128280,13314,28159,268,24277,32269,0.5899424546679651,0.3771989033189612,0.004451046015872522,0.009413925549117798,8.959593903063211e-05,0.008116121685994985,0.010787952823057716
Missouri,6044171,5003971,692288,22797,102626,5491,65011,151987,0.8279003026221462,0.11453812276323751,0.003771733129324104,0.016979334304075777,0.0009084785986366037,0.010755982913124067,0.025146045669455747
Montana,1015165,904740,3221,69216,6548,491,5053,25896,0.891224579255589,0.003172883225879537,0.06818201967167899,0.0064501829751813745,0.0004836652169844311,0.004977515970310245,0.02550915368437643
Nebraska,1868516,1650358,86010,14405,37356,1654,35871,42862,0.8832453133930884,0.04603118196472495,0.007709326545772153,0.01999233616410028,0.0008851944537804332,0.019197587818354244,0.022939059660179523
Nevada,2790136,1906864,234179,30016,215121,18302,268246,117408,0.6834304851089696,0.0839310341861472,0.010757898539712759,0.07710054276924136,0.006559536882789943,0.09614083327837783,0.042079669234761315
New Hampshire,1323459,1236757,16100,3082,31156,106,10869,25389,0.9344883370017507,0.012165091627319017,0.0023287461115153547,0.023541341288245424,8.009314984446062e-05,0.008212570242070212,0.019183820579254815
New Jersey,8899339,6068475,1215836,16422,801879,1633,577756,217338,0.6819017682099761,0.13662093330751868,0.0018453055895499655,0.09010545614679921,0.00018349677431099096,0.06492122617196626,0.024421813799878844
New Mexico,2085287,1569585,41733,189392,28274,1622,185279,69402,0.75269495278108,0.020013072541093864,0.09082298983305416,0.013558805094934175,0.0007778305815938046,0.08885059946184866,0.03328174970639533
New York,19651127,12695280,3079582,73231,1554980,9962,1673398,564694,0.6460331766213714,0.15671274222592932,0.0037265547161748026,0.07912930388165523,0.0005069429351303872,0.08515531959057615,0.028735960029162705
North Carolina,9848060,6811501,2121712,112630,238502,6661,320910,236144,0.69165916942017,0.21544466625914138,0.011436770287752106,0.024218170888479558,0.0006763768701652914,0.03258611340710759,0.023978732867183994
North Dakota,723393,643478,10827,40214,9096,371,4620,14787,0.8895275458844639,0.014966968162534058,0.05559080610401262,0.01257407799080168,0.0005128609206890307,0.006386569955750194,0.02044117098174851
Ohio,11570808,9541274,1405148,18273,212547,3118,94489,295959,0.8245987661362975,0.12143905594146925,0.0015792328418205539,0.018369244395032742,0.00026947124176634855,0.008166153997197084,0.025578075446416534
Oklahoma,3850568,2815708,277016,289909,71433,5486,103571,287445,0.7312448449163864,0.07194159407131623,0.07528993125170105,0.01855128905657555,0.0014247248717591794,0.026897590173709438,0.0746500256585522
Oregon,3930065,3370391,72655,43202,152271,14038,111728,165780,0.8575916683311854,0.018486971589528417,0.010992693505069255,0.038745160703448925,0.0035719511000454193,0.028429046338928236,0.042182508431794385
Pennsylvania,12773801,10427694,1409021,22855,384783,2241,264099,263108,0.8163344645810593,0.11030553865681797,0.0017892090224358435,0.030122827183545448,0.0001754372093318191,0.020675052006838057,0.020597471339971557
Rhode Island,1051511,846102,67541,4136,33240,531,73059,26902,0.8046534938769067,0.06423232852533164,0.003933387287436841,0.03161165218433283,0.0005049875845331148,0.06948001494991493,0.025584135591543978
South Carolina,4774839,3209900,1320131,14297,65048,3137,71578,90748,0.6722530330342028,0.27647654716734954,0.0029942370831770454,0.013623077134119078,0.0006569855025478346,0.01499066251239047,0.01900545756621323
South Dakota,844877,719112,13001,71981,9105,420,6721,24537,0.8511440126787686,0.01538803873226517,0.08519701684387194,0.010776716610820273,0.0004971137810592548,0.007955004101188694,0.029042097252026035
Tennessee,6495978,5060129,1102455,16101,98746,2990,92334,123223,0.7789633831887978,0.16971347501484765,0.002478610611058104,0.015201098279581611,0.00046028481007786664,0.014214025971147069,0.018969122124489955
Texas,26448193,19840367,3142866,118862,1089907,19892,1589415,646884,0.7501596422863369,0.11883102940151714,0.004494144458186614,0.04120912910761049,0.0007521118739567576,0.060095409920821435,0.024458532951570643
Utah,2900872,2534534,32754,33325,62671,27513,139605,70470,0.8737145244602312,0.011291087645370082,0.011487925010134884,0.02160419349767932,0.009484389521495605,0.048125184427303236,0.024292695437785602
Vermont,626630,595148,7184,1579,7640,222,1633,13224,0.9497598263728196,0.01146450058248089,0.0025198282878253517,0.012192202735266425,0.0003542760480666422,0.0026060035427604806,0.021103362430780523
