State,Total,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,> 85,Median
Alabama,4833722,6.0,6.3,6.8,6.8,7.3,6.3,6.4,6.2,6.4,6.6,7.1,6.8,6.0,5.0,3.7,2.7,1.8,1.7,38.3
Alaska,735132,7.4,6.9,7.2,7.2,8.3,8.3,7.3,6.4,5.9,6.4,7.4,7.2,5.4,3.7,2.2,1.4,0.9,0.8,33.1
Arizona,6626624,6.5,7.0,6.8,6.9,7.3,6.6,6.6,6.1,6.5,6.1,6.5,6.0,5.7,5.0,3.9,2.8,1.9,1.8,36.8
Arkansas,2959373,6.4,7.1,6.6,6.7,7.0,6.5,6.5,5.9,6.5,6.4,6.8,6.5,5.9,5.0,3.8,2.7,2.0,1.8,37.8
California,38332521,6.5,6.7,6.6,6.9,7.6,7.4,7.2,6.6,6.8,6.7,6.9,6.2,5.3,4.1,2.9,2.1,1.6,1.8,35.7
Colorado,5268367,6.3,6.6,6.8,6.5,7.0,7.4,7.3,6.8,6.9,6.5,7.1,6.6,5.9,4.4,2.8,2.1,1.4,1.4,36.4
Connecticut,3596080,5.3,6.1,6.4,7.0,6.6,6.2,6.0,5.7,6.7,7.5,7.9,7.2,6.0,4.7,3.4,2.4,2.0,2.6,40.5
Delaware,925749,6.1,6.2,6.2,6.3,7.3,6.6,6.3,6.2,5.8,6.7,7.4,6.6,6.5,5.2,4.1,2.7,1.9,1.9,39.1
District of Columbia,646449,6.4,5.0,3.6,5.7,9.3,11.8,10.6,7.3,6.6,5.9,5.9,5.6,5.0,3.6,2.7,2.1,1.4,1.6,33.8
Florida,19552860,5.5,5.6,5.9,6.1,6.7,6.3,6.1,5.8,6.5,6.8,7.2,6.8,6.1,5.7,4.4,3.4,2.5,2.5,41.5
Georgia,9992167,6.6,7.1,7.1,7.2,7.3,6.7,6.8,6.7,7.2,7.0,6.9,6.3,5.3,4.3,3.0,2.1,1.4,1.2,35.9
Hawaii,1404054,6.5,5.8,6.2,5.7,7.5,7.6,6.9,6.1,6.5,6.2,6.6,6.7,6.0,5.0,3.6,2.4,2.2,2.5,38.1
Idaho,1612136,6.9,7.5,7.7,7.1,7.1,6.4,6.5,5.9,6.2,6.0,6.7,6.3,5.9,4.6,3.5,2.3,1.8,1.6,35.7
Illinois,12882135,6.2,6.5,6.7,6.8,7.1,6.9,7.0,6.4,6.7,6.7,7.2,6.7,5.7,4.3,3.2,2.3,1.8,2.0,37.2
Indiana,6570902,6.5,6.8,6.8,6.9,7.4,6.3,6.5,6.1,6.5,6.6,7.2,6.8,5.8,4.6,3.2,2.3,1.8,2.0,37.3
Iowa,3090416,6.2,6.8,6.4,7.0,7.3,6.1,6.5,5.8,6.0,6.3,7.1,6.8,6.2,4.6,3.4,2.7,2.2,2.6,38.0
Kansas,2893957,6.9,7.1,6.9,7.1,7.3,6.6,6.8,6.1,5.9,6.0,6.9,6.6,5.7,4.2,3.3,2.4,2.0,2.2,36.0
Kentucky,4395295,6.2,6.4,6.7,6.6,6.9,6.4,6.5,6.3,6.6,6.8,7.3,6.9,6.1,4.9,3.5,2.4,1.9,1.7,38.5
Louisiana,4625470,6.6,7.0,6.6,6.6,7.6,7.2,7.1,6.1,6.2,6.3,7.1,6.8,5.8,4.4,3.2,2.3,1.7,1.5,36.0
Maine,1328302,4.8,5.3,5.8,6.2,6.0,5.8,5.5,5.5,6.4,7.2,8.2,8.1,7.3,5.8,4.2,3.0,2.5,2.2,44.0
Maryland,5928814,6.2,6.2,6.4,6.6,6.8,7.0,6.8,6.3,6.7,7.3,7.7,6.8,5.8,4.5,3.2,2.2,1.7,1.8,38.2
Massachusetts,6692824,5.4,5.7,6.0,6.8,7.3,7.0,6.5,6.0,6.6,7.3,7.6,7.1,5.9,4.7,3.4,2.5,2.0,2.3,39.4
Michigan,9895622,5.8,6.3,6.5,7.0,7.3,6.0,5.9,5.6,6.6,6.8,7.5,7.4,6.2,4.9,3.5,2.5,2.0,2.1,39.6
Minnesota,5420380,6.4,6.6,6.7,6.6,6.7,6.7,6.9,5.9,6.4,6.7,7.6,7.0,5.9,4.4,3.2,2.4,1.9,2.0,37.7
Mississippi,2991207,6.6,7.1,6.9,7.4,7.4,6.1,6.5,6.1,6.7,6.3,6.7,6.6,5.8,4.7,3.3,2.5,1.7,1.6,36.6
Missouri,6044171,6.2,6.5,6.6,6.6,7.2,6.6,6.6,5.9,6.0,6.5,7.4,6.8,6.1,4.8,3.6,2.7,2.0,2.0,38.1
Montana,1015165,6.0,6.4,5.9,6.7,7.1,6.2,6.2,5.8,5.5,5.9,7.3,7.8,6.8,5.6,3.7,2.8,2.1,2.1,39.6
Nebraska,1868516,6.9,7.2,6.8,7.0,7.1,6.6,6.8,5.9,6.1,6.1,7.1,6.5,5.8,4.5,2.9,2.5,2.1,2.2,36.3
Nevada,2790136,6.4,6.9,6.5,6.4,6.7,7.1,7.2,6.7,6.9,6.8,6.8,6.4,5.7,5.0,3.5,2.3,1.4,1.4,37.1
New Hampshire,1323459,5.0,5.8,5.9,6.9,6.7,5.7,5.6,5.7,6.6,7.8,8.5,7.9,6.7,5.2,3.7,2.6,1.9,2.0,42.3
New Jersey,8899339,6.0,6.2,6.6,6.5,6.4,6.4,6.4,6.3,7.0,7.5,7.7,7.0,5.7,4.5,3.4,2.4,2.0,2.2,39.4
New Mexico,2085287,6.6,6.8,6.9,7.0,7.3,6.5,6.5,6.0,6.0,6.1,6.8,6.7,6.1,4.9,3.7,2.6,1.8,1.7,36.9
New York,19651127,6.0,5.9,6.0,6.6,7.3,7.3,6.9,6.2,6.6,7.0,7.3,6.7,5.8,4.6,3.3,2.5,1.9,2.2,38.2
North Carolina,9848060,6.2,6.7,6.5,6.6,7.3,6.4,6.5,6.4,7.0,6.8,6.9,6.6,5.8,5.0,3.4,2.5,1.8,1.7,37.9
North Dakota,723393,6.6,6.1,6.2,6.7,9.9,7.3,6.7,5.9,5.4,5.6,7.0,7.1,5.5,4.1,3.0,2.7,2.0,2.4,35.5
Ohio,11570808,6.0,6.3,6.6,6.8,6.9,6.3,6.2,5.7,6.5,6.7,7.4,7.3,6.2,4.8,3.5,2.6,2.0,2.2,39.3
Oklahoma,3850568,6.8,7.1,6.8,6.8,7.4,6.8,6.8,5.9,6.4,6.0,6.8,6.6,5.5,4.6,3.5,2.6,1.8,1.7,36.2
Oregon,3930065,5.8,6.2,6.1,6.4,6.7,6.7,7.0,6.4,6.7,6.2,6.8,7.0,6.7,5.2,3.8,2.5,1.8,2.1,39.1
Pennsylvania,12773801,5.6,5.9,6.0,6.7,6.9,6.5,6.1,5.7,6.3,6.9,7.5,7.3,6.3,5.0,3.7,2.9,2.3,2.5,40.6
Rhode Island,1051511,5.2,5.4,6.0,7.0,7.9,6.7,6.2,5.8,6.3,7.2,7.6,7.2,6.2,4.8,3.4,2.3,2.0,3.0,39.9
South Carolina,4774839,6.1,6.6,6.2,6.8,7.3,6.4,6.3,6.0,6.5,6.6,7.0,6.7,6.2,5.3,3.9,2.6,1.8,1.6,38.6
South Dakota,844877,6.9,7.3,6.6,6.7,7.3,6.6,6.5,6.0,5.4,5.9,7.0,6.7,6.3,4.3,3.4,2.6,2.2,2.3,36.6
Tennessee,6495978,6.1,6.5,6.5,6.6,7.1,6.5,6.5,6.2,6.8,6.7,7.1,6.7,6.1,5.0,3.6,2.6,1.8,1.6,38.5
Texas,26448193,7.3,7.6,7.4,7.2,7.4,7.2,7.2,6.7,6.8,6.4,6.6,5.9,4.9,3.8,2.8,1.9,1.4,1.3,34.0
Utah,2900872,8.7,8.8,8.6,7.8,8.4,7.3,7.9,7.1,5.8,5.1,5.4,5.0,4.3,3.3,2.3,1.7,1.2,1.2,30.2
Vermont,626630,4.8,5.7,5.5,7.0,7.3,5.6,5.6,5.6,6.0,7.0,8.2,7.8,7.4,5.7,3.9,2.8,2.0,2.1,42.5
Virginia,8260405,6.2,6.3,6.3,6.7,7.2,7.0,6.9,6.4,6.9,7.1,7.3,6.7,5.7,4.6,3.3,2.2,1.7,1.6,37.6
Washington,6971406,6.3,6.4,6.4,6.3,7.1,7.1,7.1,6.4,6.7,6.5,7.0,6.8,6.1,4.7,3.3,2.2,1.7,1.8,37.4
West Virginia,1854304,5.5,5.5,6.0,6.3,6.8,5.5,6.0,6.2,6.4,6.5,7.2,7.7,7.0,5.7,4.2,3.1,2.1,2.1,41.7
Wisconsin,5742713,5.9,6.3,6.5,6.7,6.9,6.3,6.5,5.9,6.2,6.8,7.7,7.2,6.2,4.7,3.4,2.5,2.0,2.2,39.0
Wyoming,582658,6.6,7.1,6.6,6.1,7.7,6.9,7.1,5.9,6.2,5.7,7.1,7.2,6.6,4.9,3.1,2.1,1.5,1.8,36.6
