State,Total,< 5,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,> 85,Median
South Carolina,4832482,5.9,6.4,6.3,6.6,7.2,6.5,6.3,6.1,6.4,6.4,7.0,6.7,6.4,5.7,4.0,2.6,1.8,1.7,38.8
South Dakota,853175,7.1,6.8,6.9,6.9,7.2,6.5,6.6,5.5,5.8,5.6,6.9,6.9,6.1,5.1,3.0,2.5,2.1,2.4,36.6
Tennessee,6549352,6.1,6.4,6.4,6.6,6.9,6.6,6.5,6.3,6.6,6.6,7.1,6.8,6.1,5.2,3.8,2.6,1.9,1.6,38.6
Texas,26956958,7.2,7.5,7.4,7.2,7.3,7.2,7.2,6.8,6.8,6.3,6.5,6.0,5.0,3.9,2.9,2.0,1.4,1.3,34.3
Utah,2942902,8.5,8.8,8.7,7.7,8.4,7.2,7.7,7.1,6.1,5.2,5.3,5.0,4.5,3.4,2.5,1.9,1.2,1.1,30.5
Vermont,626562,4.9,5.4,5.3,6.9,7.4,5.8,5.9,5.4,6.2,6.6,7.8,8.3,7.1,5.7,4.3,2.6,2.3,2.1,42.8
Virginia,8326289,6.1,6.3,6.3,6.7,7.1,7.1,6.9,6.4,6.8,6.8,7.3,6.6,5.9,4.7,3.5,2.3,1.6,1.7,37.7
Washington,7061530,6.3,6.4,6.3,6.2,7.0,7.2,7.2,6.6,6.5,6.4,7.0,6.8,6.1,5.0,3.4,2.2,1.6,1.8,37.5
West Virginia,1850326,5.5,5.7,5.9,6.1,6.6,5.9,6.0,5.8,6.5,6.5,7.1,7.5,7.1,6.2,4.1,3.2,2.2,2.1,41.9
Wisconsin,5757564,5.9,6.3,6.5,6.6,7.0,6.2,6.5,6.0,6.0,6.6,7.6,7.2,6.4,4.9,3.5,2.6,2.0,2.2,39.2
Wyoming,584153,6.5,7.0,6.2,6.4,7.3,6.9,7.4,6.6,5.6,5.6,6.8,7.1,6.9,5.2,3.2,2.1,1.9,1.4,36.6
