State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Alabama,4858979,3329913,1303298,20503,59393,4448,54105,87319,0.6853112557185368,0.2682246620123281,0.004219610745384988,0.01222334980249966,0.0009154186507083072,0.011135055327466944,0.017970647743075243
Alaska,738432,481314,26176,101133,47295,6762,12467,63285,0.6518054472178887,0.03544808459005027,0.13695641575663026,0.0640478744149766,0.009157241289651586,0.01688307115617958,0.08570186557462299
Arizona,6828065,5285994,300685,308469,217556,11284,481631,222446,0.774156953690394,0.04403663409765431,0.045176634961735136,0.03186202826130097,0.0016525911806639217,0.07053696764749603,0.032578190160755645
Arkansas,2978204,2308047,469555,20797,42404,7639,65542,64220,0.7749794842797875,0.1576638134929642,0.006983067647481502,0.014238111291234583,0.002564968685825417,0.022007223145224436,0.02156333145748243
California,39144818,23824254,2277229,282777,5548936,157554,5300297,1753771,0.6086183361486059,0.05817446896802535,0.007223868048128363,0.14175403753314167,0.0040249005628280096,0.13540226448364123,0.04480212425562944
Colorado,5456574,4607390,224809,49138,162880,9136,209890,193331,0.8443741439225418,0.041199661179340735,0.009005284268114021,0.029850232032040618,0.0016743106571999206,0.03846552800346884,0.035430839937293984
Connecticut,3590886,2747943,380571,8893,156249,519,180107,116604,0.7652548702465074,0.10598247897594075,0.002476547570710961,0.04351265954976014,0.0001445325749689631,0.05015670227347791,0.03247220880863386
Delaware,945934,654904,203863,3121,36114,334,19157,28441,0.6923358289267538,0.2155150359327395,0.0032993845236559843,0.038178139278216026,0.00035309017331018865,0.020251941467375103,0.03006657969794933
District of Columbia,672228,269143,318831,1661,25944,475,34797,21377,0.4003745752929066,0.47428997304485976,0.002470887853525887,0.03859404844784805,0.000706605496944489,0.051763687320373446,0.03180022254354178
Florida,20271272,15357374,3280778,47032,544068,11898,528266,501856,0.7575930114301658,0.1618437165659856,0.0023201306755688544,0.026839361634533838,0.0005869389942574891,0.026059834824376092,0.024757005875112325
Georgia,10214860,6077438,3197929,28491,388457,4337,284084,234124,0.5949604791450886,0.3130663562692,0.0027891718535545274,0.0380286171322955,0.00042457752724951687,0.027810855949078107,0.022919942123533755
Hawaii,1431603,372252,29644,3899,531268,134232,10135,350173,0.26002460179253606,0.02070685797668767,0.0027235204173224003,0.3711000885021895,0.09376342463657872,0.007079476642616703,0.24460203003206896
Idaho,1654930,1514404,8828,23516,21145,1931,37682,47424,0.9150864387013348,0.00533436459548138,0.014209664457106946,0.012776975461197755,0.0011668167233659429,0.02276954312266984,0.028656196938843335
Illinois,12859995,9238679,1844624,28792,674236,4514,773685,295465,0.7184045561448508,0.14343893601824884,0.0022388811193161428,0.05242894728963736,0.00035101102294363254,0.06016215402883127,0.022975514376171995
Indiana,6619680,5559694,605660,15704,138664,2602,140617,156739,0.8398735286297827,0.09149384864525173,0.0023723201121504363,0.020947236120174993,0.0003930703598965509,0.021242265487153456,0.02367773064559012
Iowa,3123899,2826672,106610,11554,68505,3282,47404,59872,0.9048538381042409,0.0341272237034552,0.003698583084792434,0.02192932614018571,0.0010506101509683893,0.015174626324346593,0.019165792492010784
Kansas,2911641,2465799,172109,27041,84221,2197,67275,92999,0.8468760400063057,0.059110652721266116,0.009287202646205353,0.02892561273865837,0.0007545573097782316,0.023105527089363007,0.031940407488423195
Kentucky,4425092,3865712,355718,8914,59626,2765,38122,94235,0.8735890688826357,0.08038657727342166,0.0020144213950805995,0.013474522111630673,0.000624845765918539,0.00861496212960092,0.021295602441711945
Louisiana,4670724,2914693,1502375,22645,81039,1146,51153,97673,0.6240345179890741,0.3216578414823912,0.004848284762704882,0.017350415053426407,0.00024535810722277747,0.010951835304333975,0.02091174730084672
Maine,1329328,1258074,14795,8966,13291,652,2957,30593,0.9463984810370353,0.011129683569442606,0.006744761262833552,0.009998284847682438,0.000490473382039647,0.0022244321943117123,0.023013883706654793
Maryland,6006401,3395048,1770161,15403,385167,2911,250417,187294,0.5652383182541425,0.29471242429534755,0.002564430846358743,0.06412608815162357,0.00048464962629035256,0.04169168858356277,0.03118240024267444
Massachusetts,6794422,5373238,499357,10663,430739,1410,280631,198384,0.7908307726543921,0.07349514057266388,0.001569375584854753,0.06339597393273483,0.00020752317121309216,0.04130314543312146,0.02919806865101991
Michigan,9922576,7801483,1378111,53668,293157,3757,120463,271937,0.7862356509035557,0.13888641417309375,0.0054086761341006605,0.0295444449102733,0.00037863151665454617,0.01214029502016412,0.027405887342157924
Minnesota,5489594,4614799,320267,55212,258839,1570,83169,155738,0.8406448637185191,0.058340744324625826,0.010057574385282408,0.04715084576382152,0.00028599564922287516,0.015150300732622485,0.028369675425905815
Mississippi,2992333,1758586,1128475,11723,30540,834,26315,35860,0.5876972917118516,0.3771221317948236,0.003917678948165194,0.010206083347007167,0.0002787122957237714,0.00879414156111636,0.01198396034131228
