State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Alabama,4849377,3320273,1291826,22553,58456,1446,69859,84964,0.6846803207917224,0.26639009505757133,0.004650700492042586,0.01205433192758575,0.0002981826325319727,0.014405767998652197,0.017520601099893864
Alaska,736732,483584,24790,103273,43915,8395,9967,62808,0.6563906549464391,0.0336485994907239,0.14017716075859335,0.059607835685160954,0.01139491701188492,0.013528664426141392,0.08525216768105634
Arizona,6731484,5273335,280518,294757,212116,12721,433934,224103,0.7833837234107665,0.04167253461495266,0.043787818555314106,0.03151103085144375,0.0018897764593958776,0.06446334864645002,0.0332917674616771
Arkansas,2966369,2322472,468231,17091,36555,7148,50385,64487,0.7829342876762804,0.15784651201519434,0.005761589336997521,0.012323146580887274,0.00240967998249712,0.01698541213180154,0.021739372276341883
California,38802500,23814044,2259681,286631,5398090,150072,5114193,1779789,0.6137244765156884,0.0582354487468591,0.007386920945815347,0.1391170671992784,0.0038675858514270987,0.13180060563108048,0.04586789510985117
Colorado,5355866,4520381,215446,55784,157958,6679,215290,184328,0.8440056192593317,0.04022617444125749,0.010415495832046583,0.02949252277782902,0.0012470438954223276,0.04019704749894788,0.03441609629516496
Connecticut,3596677,2763949,371857,7085,151402,1019,197532,103833,0.7684729543409097,0.10338904494342972,0.001969873858564447,0.042094967104357714,0.0002833170729537292,0.05492069485249857,0.02886914782728613
Delaware,935614,647533,203326,3284,36172,216,20966,24117,0.6920941755895059,0.21731825304024951,0.0035099945062814367,0.0386612427774702,0.0002308644376847717,0.022408813891198722,0.025776655757609443
District of Columbia,658893,265077,321346,1859,24910,172,28798,16731,0.40230659606339725,0.4877058945837943,0.0028213989221315145,0.037805834938298026,0.0002610439024242176,0.04370664129077104,0.025392590299183632
Florida,19893297,15113860,3221160,53014,524583,15149,489726,475805,0.759746360796805,0.16192187750476958,0.0026649177358584655,0.02636983703606295,0.0007615127849345436,0.024617638795620456,0.023917855345948938
Georgia,10097343,6043917,3163620,25301,371688,6638,282876,203303,0.5985650878651938,0.3133121257740774,0.002505708679996312,0.03681047578556062,0.0006574006647095182,0.0280148946113844,0.02013430661907791
Hawaii,1419561,360711,30729,2191,534189,147612,13830,330299,0.2541003873732795,0.021646833070223824,0.0015434349069888508,0.3763057734045948,0.10398425992260987,0.009742448545712372,0.2326768627765908
Idaho,1634464,1498107,11354,21550,24009,1984,36664,40796,0.9165738737592263,0.006946619809307516,0.01318475047477338,0.014689219218043347,0.0012138535935939856,0.022431818626779176,0.024959864518276326
Illinois,12880580,9290445,1837715,27995,663454,5825,763579,291567,0.7212753618237688,0.14267331129498828,0.0021734269730089794,0.05150808426328628,0.00045223118834710857,0.05928141434624838,0.022636170110352172
Indiana,6596855,5547390,612890,13063,130250,3216,143931,146115,0.8409143447900552,0.09290639251582762,0.00198018601288038,0.019744256922427428,0.00048750503080634635,0.021818123939362014,0.02214919078864095
Iowa,3107126,2837758,97874,9617,68419,2576,30497,60385,0.9133063802369135,0.03149984905665235,0.0030951432288230346,0.022020027510953853,0.0008290619691637867,0.009815179686951865,0.01943435831054164
Kansas,2904021,2466138,171976,24500,76245,2471,63129,99562,0.8492149333630852,0.059219957431437306,0.00843657811014452,0.026254975428896692,0.0008508891636802902,0.021738479163890344,0.034284187338865665
Kentucky,4413457,3858261,350141,10526,54542,2650,43094,94243,0.8742038270679877,0.07933486153824541,0.0023849784873852856,0.012358112925989763,0.0006004363472896643,0.009764227905698412,0.02135355572740371
Louisiana,4649676,2919142,1502184,26009,78675,2816,42238,78612,0.6278162177321602,0.32307283346194443,0.005593723089522797,0.01692053381784021,0.0006056335968355644,0.009084073815035714,0.016906984486661007
Maine,1330089,1260278,16557,8322,14447,36,2947,27502,0.9475140385342635,0.012448039191362382,0.006256724174096621,0.010861679180866845,2.7065857998976008e-05,0.0022156412089717305,0.02067681185243995
Maryland,5976407,3432582,1774618,14657,369996,2086,209461,173007,0.5743554614001356,0.2969372735156759,0.002452476881176265,0.06190943822935754,0.00034903914676493754,0.03504798116995713,0.02894832965693267
Massachusetts,6745408,5347420,477527,15599,413079,1329,279928,210526,0.7927496750381889,0.07079290088901961,0.0023125361727563405,0.06123854924713227,0.00019702292285359165,0.04149904646242303,0.03121026926762621
Michigan,9909877,7816586,1375194,55729,281404,2260,121859,256845,0.7887672066969146,0.13877003720631448,0.0056235814026753305,0.028396316119766167,0.00022805530280547377,0.012296721745385942,0.025918081526138014
Minnesota,5457173,4606959,312432,56934,250352,2392,85069,143035,0.8442024835936116,0.05725162093999952,0.010432874310563363,0.04587576754484419,0.00043832218623085614,0.015588474105548788,0.02621045731920172
Mississippi,2994079,1761195,1132556,12252,24009,458,25266,38343,0.5882259619736152,0.3782652361544234,0.004092076394777827,0.008018826490550182,0.0001529685756454656,0.008438655092267105,0.012806275318720715
Missouri,6063589,4990271,711601,26387,107426,3763,73680,150461,0.82298965183821,0.11735640393832761,0.004351713152062253,0.017716570169910923,0.0006205895551298084,0.012151219352103185,0.024813851994256206
Montana,1023579,914571,5812,70035,8176,276,2856,21853,0.8935030906261265,0.005678115709681421,0.06842168508732595,0.007987658988705317,0.0002696421087185259,0.0027902096467395288,0.021349597832702703
Nebraska,1881503,1660976,88620,17959,38892,1056,30095,43905,0.8827921082241166,0.04710064241194407,0.009545028628708006,0.020670708470834222,0.0005612534234598616,0.01599519107862172,0.023335067762315552
Nevada,2839099,1931264,242994,30503,221841,18553,268796,125148,0.6802383432208599,0.08558842083351091,0.010743901498327463,0.07813781766680204,0.006534819673424562,0.09467651533109624,0.04408018177597893
New Hampshire,1326813,1239410,17009,2339,33974,437,6252,27392,0.9341256077533157,0.012819440267769459,0.0017628708793175829,0.02560571836423068,0.0003293606559477485,0.004712043068616301,0.02064495901080258
